amplicon	ERR0000001	ERR0000002	ERR0000003	total
ERR1:299290.639276	3	0	0	3
ERR1:302530.698779	3	0	0	3
ERR1:303420.730869	3	0	0	3
ERR1:306740.739699	3	0	0	3
ERR1:313460.680051	3	0	0	3
ERR1:315730.702147	3	0	0	3
ERR1:317210.735855	3	0	0	3
ERR1:323840.717220	3	0	0	3
ERR1:329740.709422	3	0	0	3
ERR1:331580.708185	3	0	0	3
ERR1:331910.734041	3	0	0	3
ERR1:333060.717476	3	0	0	3
ERR1:33720.698316	3	0	0	3
ERR1:338470.720988	3	0	0	3
ERR1:340340.733184	3	0	0	3
ERR1:35110.696443	3	0	0	3
ERR1:357570.636130	3	0	0	3
ERR1:36410.733579	3	0	0	3
ERR1:383500.653029	3	0	0	3
ERR1:38800.675608	3	0	0	3
ERR1:3960.736644	3	0	0	3
ERR1:40010.736716	3	0	0	3
ERR1:4020.701331	3	0	0	3
ERR1:404320.710727	3	0	0	3
ERR1:43010.724442	3	0	0	3
ERR1:43080.690887	3	0	0	3
ERR1:43740.640535	3	0	0	3
ERR1:45620.700483	3	0	0	3
ERR1:475140.710082	3	0	0	3
ERR1:47790.711729	3	0	0	3
ERR1:482020.725650	3	0	0	3
ERR1:48690.709309	3	0	0	3
ERR1:48810.625089	3	0	0	3
ERR1:491330.723031	3	0	0	3
ERR1:49190.729009	3	0	0	3
ERR1:49290.646866	3	0	0	3
ERR1:5060.723654	3	0	0	3
ERR1:572120.727809	3	0	0	3
ERR1:57490.703824	3	0	0	3
ERR1:58290.723064	3	0	0	3
ERR1:605440.719849	3	0	0	3
ERR1:61220.696788	3	0	0	3
ERR1:61730.723420	3	0	0	3
ERR1:62120.694186	3	0	0	3
ERR1:62750.716002	3	0	0	3
ERR1:64070.728835	3	0	0	3
ERR1:65790.727257	3	0	0	3
ERR1:66130.649246	3	0	0	3
ERR1:66260.721014	3	0	0	3
ERR1:66910.737032	3	0	0	3
ERR1:68130.729975	3	0	0	3
ERR1:68710.629082	3	0	0	3
ERR1:70650.738232	3	0	0	3
ERR1:71470.619251	3	0	0	3
ERR1:77840.699393	3	0	0	3
ERR1:80410.736694	3	0	0	3
ERR1:80730.724172	3	0	0	3
ERR1:81240.733225	3	0	0	3
ERR1:81460.714155	3	0	0	3
ERR1:83220.622290	3	0	0	3
ERR1:84060.726020	3	0	0	3
ERR1:85400.717334	3	0	0	3
ERR1:85910.717622	3	0	0	3
ERR1:86320.732795	3	0	0	3
ERR1:88830.726388	3	0	0	3
ERR1:89000.686568	3	0	0	3
ERR1:90410.733889	3	0	0	3
ERR1:90520.717740	3	0	0	3
ERR1:91400.733892	3	0	0	3
ERR1:91970.722367	3	0	0	3
ERR1:92650.729621	3	0	0	3
ERR1:93480.707816	3	0	0	3
ERR1:93570.740212	3	0	0	3
ERR1:94480.730523	3	0	0	3
ERR1:95350.726275	3	0	0	3
ERR2:101380.740209	0	3	0	3
ERR2:102610.740709	0	3	0	3
ERR2:10350.720511	0	3	0	3
ERR2:106580.712974	0	3	0	3
ERR2:106680.729346	0	3	0	3
ERR2:109530.717663	0	3	0	3
ERR2:110510.707116	0	3	0	3
ERR2:116800.635600	0	3	0	3
ERR2:118220.724017	0	3	0	3
ERR2:120320.695739	0	3	0	3
ERR2:125210.720630	0	3	0	3
ERR2:125900.709475	0	3	0	3
ERR2:126280.725337	0	3	0	3
ERR2:126870.711151	0	3	0	3
ERR2:131430.726284	0	3	0	3
ERR2:133660.608245	0	3	0	3
ERR2:134490.726782	0	3	0	3
ERR2:136060.724862	0	3	0	3
ERR2:136160.734948	0	3	0	3
ERR2:141420.724145	0	3	0	3
ERR2:143340.722043	0	3	0	3
ERR2:1440.719714	0	3	0	3
ERR2:152740.730297	0	3	0	3
ERR2:154170.699683	0	3	0	3
ERR2:156950.627558	0	3	0	3
ERR2:160820.717081	0	3	0	3
ERR2:162150.739577	0	3	0	3
ERR2:165780.731944	0	3	0	3
ERR2:166520.726062	0	3	0	3
ERR2:166700.722667	0	3	0	3
ERR2:168230.737340	0	3	0	3
ERR2:168860.646632	0	3	0	3
ERR2:169720.719154	0	3	0	3
ERR2:170080.736189	0	3	0	3
ERR2:170930.731659	0	3	0	3
ERR2:173730.703160	0	3	0	3
ERR2:175760.718417	0	3	0	3
ERR2:177390.706713	0	3	0	3
ERR2:17840.718499	0	3	0	3
ERR2:181480.710834	0	3	0	3
ERR2:182120.735568	0	3	0	3
ERR2:185050.708978	0	3	0	3
ERR2:18870.741451	0	3	0	3
ERR2:18980.730708	0	3	0	3
ERR2:190140.735422	0	3	0	3
ERR2:191530.709787	0	3	0	3
ERR2:192440.726758	0	3	0	3
ERR2:192950.731160	0	3	0	3
ERR2:193780.739285	0	3	0	3
