OTU	ERR1308288	classification
ERR1308288:2550290.671199	6	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Chloeia;Chloeia parva
ERR1308288:2709170.626766	6	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes peruncus
ERR1308288:2859370.644272	6	Eukaryota;Chordata;Amphibia;Gymnophiona;Dermophiidae;Schistometopum;Schistometopum thomense
ERR1308288:3030570.702998	6	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:3642300.614849	6	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes harrisoni
ERR1308288:1087820.682560	5	Eukaryota;Nematoda;Chromadorea;Rhabditida;Dictyocaulidae;Dictyocaulus;Dictyocaulus eckerti
ERR1308288:1088750.603801	5	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308288:1103820.671597	5	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR1308288:113730.608384	5	Eukaryota;Rotifera;Monogononta;Ploima;Brachionidae;Keratella;Keratella cochlearis
ERR1308288:1181400.709634	5	Eukaryota;Annelida;Hirudinida;Arhynchobdellida;Haemadipsidae;Haemadipsa;Haemadipsa montana
ERR1308288:1188260.673576	5	Eukaryota;Nematoda;Chromadorea;Rhabditida;Metastrongylidae;Metastrongylus;Metastrongylus pudendotectus
ERR1308288:1195040.641055	5	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR1308288:1308750.632344	5	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Chloeia;Chloeia parva
ERR1308288:132710.640610	5	Eukaryota;Porifera;Demospongiae;Hadromerida;Tethyidae;Tethya;Tethya actinia
ERR1308288:1406100.719544	5	Eukaryota;Porifera;Demospongiae;Hadromerida;Tethyidae;Tethya;Tethya californiana
ERR1308288:1464780.670895	5	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Chloeia;Chloeia parva
ERR1308288:1469980.748195	5	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR1308288:1495490.668978	5	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:1606540.679806	5	Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;Parides;Parides vertumnus
ERR1308288:1756690.706214	5	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Thermocyclops;Thermocyclops crassus
ERR1308288:1794820.699678	5	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:1836340.622070	5	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Chloeia;Chloeia parva
ERR1308288:198840.712952	5	Eukaryota;Arthropoda;Malacostraca;Decapoda;Parastacidae;Engaeus;Engaeus fossor
ERR1308288:2077880.606320	5	Eukaryota;Arthropoda;Malacostraca;Decapoda;Portunidae;Charybdis;Charybdis vadorum
ERR1308288:2357950.634113	5	Eukaryota;Mollusca;Gastropoda;Lottiidae;Lottia;Lottia argrantesta
ERR1308288:2556490.666337	5	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Gorgoniidae;Antillogorgia;Antillogorgia bipinnata
ERR1308288:2565390.619007	5	Eukaryota;Porifera;Demospongiae;Hadromerida;Hemiasterellidae;Axos;Axos cliftoni
ERR1308288:2610950.658357	5	Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Protula;Protula pacifica
ERR1308288:2856970.656659	5	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Chloeia;Chloeia parva
ERR1308288:1011080.667986	4	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Podospongiidae;Diacarnus;Diacarnus spinipoculum
ERR1308288:1066290.601288	4	Eukaryota;Nematoda;Chromadorea;Rhabditida;Dictyocaulidae;Dictyocaulus;Dictyocaulus eckerti
ERR1308288:107640.627093	4	Eukaryota;Nematoda;Chromadorea;Rhabditida;Filaroididae;Parafilaroides;Parafilaroides normani
ERR1308288:107720.670353	4	Eukaryota;Rotifera;Monogononta;Ploima;Brachionidae;Keratella;Keratella cochlearis
ERR1308288:1077640.705617	4	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:1085320.708244	4	Eukaryota;Arthropoda;Insecta;Hemiptera;Aleyrodidae;Vasdavidius;Vasdavidius concursus
ERR1308288:1098180.710967	4	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:1099520.710998	4	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Chloeia;Chloeia parva
ERR1308288:110910.677137	4	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:1118890.676875	4	Eukaryota;Arthropoda;Insecta;Phthiraptera;Haematopinidae;Haematopinus;Haematopinus asini
ERR1308288:1168050.678196	4	Eukaryota;Mollusca;Gastropoda;Vertiginidae;Vertigo;Vertigo pusilla
ERR1308288:1170060.617080	4	Eukaryota;Arthropoda;Malacostraca;Decapoda;Portunidae;Charybdis;Charybdis vadorum
ERR1308288:1241640.716219	4	Eukaryota;Mollusca;Gastropoda;Vertiginidae;Vertigo;Vertigo pusilla
