OTU	amplicon	ERR1308288	total
771	ERR1308288:1268340.664764	1	1
772	ERR1308288:1270190.610471	1	1
773	ERR1308288:1270500.600021	1	1
774	ERR1308288:1271040.614754	1	1
777	ERR1308288:1271340.615377	1	1
778	ERR1308288:1272020.621536	1	1
779	ERR1308288:1272110.628165	1	1
780	ERR1308288:127220.644458	1	1
781	ERR1308288:1272290.666010	1	1
782	ERR1308288:1272530.625917	1	1
783	ERR1308288:1273200.607290	1	1
784	ERR1308288:1273290.667637	2	2
785	ERR1308288:1273620.604552	1	1
786	ERR1308288:127370.649347	1	1
787	ERR1308288:1276010.603144	1	1
788	ERR1308288:1277140.638492	1	1
789	ERR1308288:1277380.620912	1	1
790	ERR1308288:127830.609219	1	1
791	ERR1308288:1278930.629018	1	1
792	ERR1308288:1279110.639998	1	1
794	ERR1308288:1280170.623465	1	1
795	ERR1308288:1281940.611578	1	1
796	ERR1308288:1281990.606091	1	1
797	ERR1308288:1282620.621193	1	1
798	ERR1308288:1283980.601766	1	1
799	ERR1308288:1286220.641744	1	1
800	ERR1308288:1286900.641685	1	1
801	ERR1308288:1287090.624151	1	1
802	ERR1308288:1287670.637776	1	1
804	ERR1308288:1291260.609211	1	1
805	ERR1308288:1291700.613059	1	1
806	ERR1308288:1292200.659166	1	1
807	ERR1308288:1292340.632804	1	1
808	ERR1308288:1292350.622123	1	1
809	ERR1308288:1294170.622186	1	1
810	ERR1308288:1294250.611872	1	1
811	ERR1308288:1294300.602458	1	1
813	ERR1308288:1294410.617187	1	1
814	ERR1308288:1294450.602020	1	1
815	ERR1308288:1295890.612122	1	1
816	ERR1308288:1295910.659658	1	1
817	ERR1308288:1296570.639787	1	1
818	ERR1308288:1296610.616081	1	1
819	ERR1308288:1297140.637900	1	1
820	ERR1308288:1297260.649073	1	1
821	ERR1308288:129740.627775	2	2
822	ERR1308288:1297540.629877	1	1
823	ERR1308288:1297550.613714	1	1
824	ERR1308288:1297820.615464	1	1
826	ERR1308288:1298550.609349	1	1
827	ERR1308288:1298900.604628	1	1
828	ERR1308288:1299730.615136	2	2
829	ERR1308288:1300200.658464	1	1
830	ERR1308288:1300520.601475	1	1
831	ERR1308288:1300720.641662	1	1
832	ERR1308288:1300810.603412	1	1
833	ERR1308288:1301470.625060	1	1
834	ERR1308288:1301710.605029	1	1
835	ERR1308288:1302380.601171	1	1
836	ERR1308288:1302540.600236	1	1
837	ERR1308288:1303130.603134	1	1
838	ERR1308288:1303300.611701	2	2
839	ERR1308288:1304060.611451	1	1
840	ERR1308288:1304090.622084	1	1
841	ERR1308288:1304180.617823	1	1
842	ERR1308288:1304300.624068	2	2
843	ERR1308288:1305030.660439	1	1
844	ERR1308288:1305170.600775	1	1
845	ERR1308288:1305510.634574	1	1
847	ERR1308288:1306020.632242	1	1
