amplicon	ERR0000001	total
ERR1:80320.631165	2	2
ERR1:804010.611500	2	2
ERR1:804590.626625	2	2
ERR1:804640.658537	2	2
ERR1:809040.660782	2	2
ERR1:81250.674412	2	2
ERR1:821290.694915	2	2
ERR1:821970.600726	2	2
ERR1:822080.631331	2	2
ERR1:823580.612781	2	2
ERR1:825490.694699	2	2
ERR1:82650.630962	2	2
ERR1:828220.610260	2	2
ERR1:830070.631455	2	2
ERR1:830320.640743	2	2
ERR1:831520.607006	2	2
ERR1:833550.614572	2	2
ERR1:833560.651792	2	2
ERR1:835770.665149	2	2
ERR1:838120.668009	2	2
ERR1:83860.647370	2	2
ERR1:839980.640833	2	2
ERR1:841920.682474	2	2
ERR1:84340.654223	2	2
ERR1:844670.626409	2	2
ERR1:844970.634864	2	2
ERR1:845560.643573	2	2
ERR1:84780.602610	2	2
ERR1:848930.624164	2	2
ERR1:849390.614223	2	2
ERR1:85010.694375	2	2
ERR1:8550.604511	2	2
ERR1:85550.708415	2	2
ERR1:85850.681514	2	2
ERR1:860800.658760	2	2
ERR1:861320.605546	2	2
ERR1:862630.640572	2	2
ERR1:86290.635351	2	2
ERR1:863100.647882	2	2
ERR1:86980.661972	2	2
ERR1:869860.609618	2	2
ERR1:871620.632558	2	2
ERR1:8750.642124	2	2
ERR1:876710.660444	2	2
ERR1:882800.630289	2	2
ERR1:883600.635595	2	2
ERR1:891320.672567	2	2
ERR1:891740.710111	2	2
ERR1:891990.601797	2	2
ERR1:893350.698057	2	2
ERR1:897270.602513	2	2
ERR1:90080.693487	2	2
