OTU	ERR1308239	classification
ERR1308239:1366240.601671	8	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Atherigona;Atherigona nigritibiella
ERR1308239:1525120.627385	8	Eukaryota;Entoprocta;Loxosomatidae;Loxocorone;Loxocorone allax
ERR1308239:1720500.610435	8	Eukaryota;Arthropoda;Insecta;Lepidoptera;Tortricidae;Pandemis;Pandemis lamprosana
ERR1308239:2004720.620097	8	Eukaryota;Chordata;Mammalia;Insectivora;Soricidae;Crocidura;Crocidura panayensis
ERR1308239:2941230.608482	8	Eukaryota;Arthropoda;Arachnida;Araneae;Linyphiidae;Gonatium;Gonatium rubellum
ERR1308239:1001570.613332	7	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Neptis;Neptis soma
ERR1308239:1002450.608829	7	Eukaryota;Annelida;Hirudinida;Arhynchobdellida;Haemadipsidae;Philaemon;Philaemon pungens
ERR1308239:1034970.613206	7	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila haleakalae
ERR1308239:1060750.603134	7	Eukaryota;Mollusca;Gastropoda;Nudibranchia;Polyceridae;Roboastra;Roboastra europaea
ERR1308239:1115820.602265	7	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR1308239:1133780.636329	7	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Diaeretellus;Diaeretellus svalbardicum
ERR1308239:1154320.602140	7	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Atherigona;Atherigona nigritibiella
ERR1308239:119720.600659	7	Eukaryota;Arthropoda;Insecta;Diptera;Tephritidae;Procecidochares;Procecidochares utilis
ERR1308239:1247730.624989	7	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Phortica;Phortica fangae
ERR1308239:1425780.603655	7	Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Brachymyrmex;Brachymyrmex depilis
ERR1308239:2404660.634214	7	Eukaryota;Arthropoda;Insecta;Diptera;Sciomyzidae;Pherbellia;Pherbellia silana
ERR1308239:1008100.606931	6	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Apenthecia;Apenthecia argentata
ERR1308239:1014910.612431	6	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila medioimpressa
ERR1308239:1021270.600848	6	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila pseudobaimaii
ERR1308239:1072670.603957	6	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Podospongiidae;Diacarnus;Diacarnus spinipoculum
ERR1308239:1116000.607898	6	Eukaryota;Arthropoda;Insecta;Lepidoptera;Geometridae;Charissa;Charissa crenulata
ERR1308239:11710.630388	6	Eukaryota;Arthropoda;Malacostraca;Cumacea;Bodotriidae;Cyclaspis;Cyclaspis alba
ERR1308239:1220750.718603	6	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Polycarpa;Polycarpa mytiligera
ERR1308239:1228860.622251	6	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes sloanii
ERR1308239:1332120.602963	6	Eukaryota;Entoprocta;Loxosomatidae;Loxocorone;Loxocorone allax
ERR1308239:161530.632449	6	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Smittia;Smittia edwardsi
ERR1308239:1629210.605409	6	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Apenthecia;Apenthecia argentata
ERR1308239:2088610.663883	6	Eukaryota;Mollusca;Gastropoda;Bradybaenidae;Dolicheulota;Dolicheulota formosensis
ERR1308239:2099480.731277	6	Eukaryota;Nematoda;Chromadorea;Rhabditida;Trichostrongylidae;Trichostrongylus;Trichostrongylus vitrinus
ERR1308239:2106050.738621	6	Eukaryota;Mollusca;Gastropoda;Bradybaenidae;Dolicheulota;Dolicheulota formosensis
ERR1308239:2372720.613475	6	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Lispe;Lispe orientalis
ERR1308239:2420870.609506	6	Eukaryota;Arthropoda;Pycnogonida;Pantopoda;Ammotheidae;Achelia;Achelia bituberculata
ERR1308239:1092320.615483	5	Eukaryota;Arthropoda;Insecta;Diptera;Ceratopogonidae;Forcipomyia;Forcipomyia alacris
ERR1308239:1207080.603819	5	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Stegana;Stegana xui
ERR1308239:1244270.639222	5	Eukaryota;Nematoda;Chromadorea;Rhabditida;Trichostrongylidae;Trichostrongylus;Trichostrongylus vitrinus
ERR1308239:142130.621287	5	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR1308239:1719410.631324	5	Eukaryota;Entoprocta;Loxosomatidae;Loxosomella;Loxosomella aloxiata
ERR1308239:182130.650567	5	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR1308239:2030070.606652	5	Eukaryota;Mollusca;Gastropoda;Bradybaenidae;Mastigeulota;Mastigeulota kiangsinensis
ERR1308239:2047660.690458	5	Eukaryota;Arthropoda;Insecta;Lepidoptera;Prodoxidae;Parategeticula;Parategeticula elephantipella
ERR1308239:2092810.705318	5	Eukaryota;Entoprocta;Loxosomatidae;Loxocorone;Loxocorone allax
ERR1308239:2512350.609766	5	Eukaryota;Arthropoda;Insecta;Diptera;Sciomyzidae;Tetanura;Tetanura pallidiventris
ERR1308239:2667010.610208	5	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila kanapiae
ERR1308239:1029970.614742	4	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza remota
ERR1308239:1030470.618216	4	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Metriocnemus;Metriocnemus albolineatus
ERR1308239:1107230.608676	4	Eukaryota;Annelida;Haplotaxida;Naididae;Nais;Nais barbata
ERR1308239:1139520.686955	4	Eukaryota;Nematoda;Chromadorea;Rhabditida;Protostrongylidae;Protostrongylus;Protostrongylus rufescens
