amplicon	SRR1808872	total
SRR11808872:2731030.633767	3	3
SRR11808872:2742980.607379	3	3
SRR11808872:2746200.606737	3	3
SRR11808872:2746500.615914	3	3
SRR11808872:2754400.620202	3	3
SRR11808872:2754670.614685	3	3
SRR11808872:276620.612748	3	3
SRR11808872:2767450.642542	3	3
SRR11808872:277330.616801	3	3
SRR11808872:27940.606539	3	3
SRR11808872:2815050.600505	3	3
SRR11808872:2816860.628366	3	3
SRR11808872:28240.626556	3	3
SRR11808872:2824830.620786	3	3
SRR11808872:2833570.636936	3	3
SRR11808872:2835350.650398	3	3
SRR11808872:2858530.606571	3	3
SRR11808872:2865320.625874	3	3
SRR11808872:2876700.620129	3	3
SRR11808872:2879870.623050	3	3
SRR11808872:2890990.624847	3	3
SRR11808872:2902370.608688	3	3
SRR11808872:2916420.621580	3	3
SRR11808872:29320.602956	3	3
SRR11808872:2933500.631380	3	3
SRR11808872:2935150.647250	3	3
SRR11808872:2937500.616526	3	3
SRR11808872:2964230.630216	3	3
SRR11808872:2999120.602665	3	3
SRR11808872:3064990.636473	3	3
SRR11808872:3083340.605373	3	3
SRR11808872:3090740.611449	3	3
SRR11808872:3122640.632050	3	3
SRR11808872:3123280.602666	3	3
SRR11808872:3137480.614346	3	3
SRR11808872:3149770.625676	3	3
SRR11808872:3159860.642901	3	3
SRR11808872:3161100.630922	3	3
SRR11808872:3181040.626247	3	3
SRR11808872:3187960.601945	3	3
SRR11808872:319050.607503	3	3
SRR11808872:3209600.605966	3	3
SRR11808872:3214900.614408	3	3
SRR11808872:32230.609669	3	3
SRR11808872:3234100.604028	3	3
SRR11808872:3237320.627293	3	3
SRR11808872:3239990.640584	3	3
SRR11808872:3252000.603079	3	3
SRR11808872:3262540.631908	3	3
SRR11808872:327070.624475	3	3
SRR11808872:3292520.602723	3	3
SRR11808872:3293510.618789	3	3
SRR11808872:3304600.606866	3	3
SRR11808872:3311070.626744	3	3
SRR11808872:3311760.613047	3	3
SRR11808872:3316790.617027	3	3
SRR11808872:3331300.605714	3	3
SRR11808872:3331740.607124	3	3
SRR11808872:3332060.623148	3	3
SRR11808872:3332420.629805	3	3
SRR11808872:3344020.604463	3	3
SRR11808872:3346000.603892	3	3
SRR11808872:334600.637179	3	3
SRR11808872:3347710.610875	3	3
SRR11808872:3360600.646597	3	3
SRR11808872:3364560.605190	3	3
SRR11808872:3367110.605286	3	3
SRR11808872:3377730.629836	3	3
SRR11808872:3378840.608602	3	3
SRR11808872:3380590.628582	3	3
SRR11808872:3386390.608850	3	3
SRR11808872:3391330.616448	3	3
SRR11808872:3398830.605488	3	3
SRR11808872:3400180.654277	3	3
SRR11808872:3401440.630363	3	3
SRR11808872:3412460.646986	3	3
SRR11808872:3414290.608661	3	3
SRR11808872:3431560.625615	3	3
SRR11808872:3432480.629833	3	3
SRR11808872:3433960.608004	3	3
SRR11808872:3436430.614856	3	3
SRR11808872:3438140.614353	3	3
SRR11808872:3452530.621708	3	3
SRR11808872:3458050.611892	3	3
SRR11808872:3483350.627412	3	3
SRR11808872:3486490.614896	3	3
SRR11808872:3486830.640358	3	3
SRR11808872:3487290.605622	3	3
SRR11808872:3491910.627052	3	3
SRR11808872:3500870.609165	3	3
SRR11808872:3505120.627405	3	3
SRR11808872:3506170.611765	3	3
