OTU	ERR0000001	classification
ERR1:1331610.676694	86	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Triacanthodidae;Triacanthodes;Triacanthodes anomalus
ERR1:926340.675681	86	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:273240.614255	85	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Saurogobio;Saurogobio dumerili
ERR1:321640.684430	85	Eukaryota;Cnidaria;Anthozoa;Antipatharia;Antipathidae;Stichopathes;Stichopathes lutkeni
ERR1:1001950.609410	84	Eukaryota;Chordata;Actinopteri;Lophiiformes;Antennariidae;Lophiocharon;Lophiocharon lithinostomus
ERR1:100580.634012	83	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:1010260.685335	83	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:1017100.711789	83	Eukaryota;Chordata;Actinopteri;Alepocephaliformes;Alepocephalidae;Leptoderma;Leptoderma lubricum
ERR1:204060.691557	83	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1:399900.641129	83	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Plexauridae;Euplexaura;Euplexaura crassa
ERR1:1019390.602942	82	Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Terebella;Terebella tantabiddycreekensis
ERR1:1004220.626764	81	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Bryaninops;Bryaninops ridens
ERR1:101840.688752	80	Eukaryota;Arthropoda;Insecta;Ephemeroptera;Heptageniidae;Heptagenia;Heptagenia sulphurea
ERR1:1650460.702234	80	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:357350.692903	80	Eukaryota;Nemertea;Enopla;Monostilifera;Tetrastemmatidae;Prostoma;Prostoma graecense
ERR1:1001300.646506	79	Eukaryota;Annelida;Haplotaxida;Naididae;Dero;Dero vaga
ERR1:1010970.709831	79	Eukaryota;Chordata;Squamata;Leptotyphlopidae;Rena;Rena humilis
ERR1:1014890.633295	79	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:1026940.718104	79	Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Protula;Protula pacifica
ERR1:677680.638126	79	Eukaryota;Chordata;Squamata;Chamaeleonidae;Chamaeleo;Chamaeleo monachus
ERR1:1000450.635976	78	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR1:101910.644520	78	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:1043120.710705	78	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Merulinidae;Platygyra;Platygyra carnosus
ERR1:1005520.720807	77	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cobitidae;Lepidocephalus;Lepidocephalus thermalis
ERR1:1017720.734142	77	Eukaryota;Mollusca;Gastropoda;Vermetidae;Ceraesignum;Ceraesignum maximum
ERR1:1044410.693783	77	Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Rhipicephalus;Rhipicephalus kohlsi
ERR1:1070670.718894	77	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Haleciidae;Halecium;Halecium halecinum
ERR1:1487840.690571	77	Eukaryota;Porifera;Demospongiae;Hadromerida;Polymastiidae;Polymastia;Polymastia littoralis
ERR1:552150.677637	77	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Eulaema;Eulaema boliviensis
ERR1:1003100.644026	76	Eukaryota;Chordata;Aves;Galliformes;Cracidae;Pauxi;Pauxi unicornis
