OTU	amplicon	ERR0000001	total
1373	ERR1:1035980.642121	2	2
1374	ERR1:1036030.722606	1	1
1375	ERR1:1036050.630749	1	1
1376	ERR1:1036070.641777	1	1
1382	ERR1:1036350.662564	1	1
1383	ERR1:1036360.634282	1	1
1384	ERR1:1036370.628649	1	1
1385	ERR1:103640.605344	1	1
1387	ERR1:1036420.689320	1	1
1390	ERR1:103660.672741	2	2
1391	ERR1:1036620.713960	1	1
1392	ERR1:1036650.665611	1	1
1393	ERR1:1036690.734225	1	1
1394	ERR1:1036700.667343	1	1
1395	ERR1:1036720.691513	2	2
1396	ERR1:1036740.640816	1	1
1397	ERR1:1036770.705736	1	1
1398	ERR1:1036790.604130	1	1
1400	ERR1:1036900.626795	1	1
1402	ERR1:1036970.729863	1	1
1403	ERR1:1036980.673088	1	1
1407	ERR1:1037140.659738	1	1
1408	ERR1:1037160.681473	1	1
1410	ERR1:1037210.629579	2	2
1413	ERR1:1037270.728619	1	1
1414	ERR1:1037290.639770	2	2
1415	ERR1:103730.633421	1	1
1417	ERR1:1037340.658585	1	1
1418	ERR1:1037410.620418	2	2
1419	ERR1:1037420.624429	1	1
1420	ERR1:1037500.675299	1	1
1424	ERR1:1037650.650710	1	1
1427	ERR1:1037690.628090	1	1
1428	ERR1:1037710.654174	1	1
1430	ERR1:1037760.709957	1	1
1431	ERR1:1037790.687943	1	1
1433	ERR1:1037890.639285	1	1
1434	ERR1:1037900.636721	2	2
1438	ERR1:1038170.617826	1	1
1439	ERR1:1038210.656017	1	1
1440	ERR1:1038220.662533	1	1
1443	ERR1:1038270.621378	2	2
1447	ERR1:1038370.650665	2	2
1448	ERR1:1038390.744553	1	1
1449	ERR1:1038410.699024	1	1
1450	ERR1:1038470.611046	2	2
1452	ERR1:103850.687072	1	1
1454	ERR1:1038540.617211	1	1
1455	ERR1:1038570.739211	2	2
1457	ERR1:1038660.640191	1	1
1458	ERR1:1038690.690232	1	1
1459	ERR1:103870.604193	1	1
1461	ERR1:1038760.645397	1	1
1462	ERR1:1038810.720942	1	1
1463	ERR1:1038830.701198	2	2
1464	ERR1:1038840.736963	1	1
1469	ERR1:103910.623076	2	2
1470	ERR1:1039150.670349	1	1
1471	ERR1:1039180.689473	1	1
1474	ERR1:1039240.677451	1	1
1475	ERR1:1039260.701093	1	1
1476	ERR1:1039320.692872	1	1
